usdb_id,artist,title
31820,ABBA,"Andante, Andante"
24435,ABBA,Angeleyes
10509,ABBA,"Another Town, Another Train"
7396,ABBA,As Good As New
9982,ABBA,Bang-A-Boomerang
4971,ABBA,Chiquitita
3289,ABBA,Dancing Queen
4973,ABBA,Does Your Mother Know
24991,ABBA,Don’t Shut Me Down
8689,ABBA,Eagle
4989,ABBA,Fernando
4974,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
5304,ABBA,Happy New Year
29488,ABBA,Hasta mañana
9983,ABBA,He Is Your Brother
30791,ABBA,Head Over Heels
12983,ABBA,Hole In Your Soul
6119,ABBA,Honey Honey
4975,ABBA,"I Do, I Do, I Do, I Do, I Do"
27,ABBA,I Have A Dream
24971,ABBA,I Still Have Faith In You
25159,ABBA,If It Wasn’t For The Nights
26424,ABBA,Just A Notion
25926,ABBA,Kisses Of Fire
4976,ABBA,"Knowing Me, Knowing You"
6849,ABBA,Lay All Your Love On Me
4977,ABBA,Mamma Mia
4978,ABBA,"Money, Money, Money"
11274,ABBA,Move On
11275,ABBA,"My Love, My Life"
31819,ABBA,"One Man, One Woman"
4979,ABBA,One Of Us
5224,ABBA,Our Last Summer
4983,ABBA,Ring Ring
4980,ABBA,S.O.S.
8682,ABBA,Slipping Through My Fingers
12984,ABBA,So Long
4981,ABBA,Summer Night City
4982,ABBA,Super Trouper
9984,ABBA,Suzy-Hang-Around
4984,ABBA,Take A Chance On Me
4985,ABBA,Thank You For The Music
6966,ABBA,That’s Me
25210,ABBA,The Day Before You Came
4986,ABBA,The Name Of The Game
7598,ABBA,The Visitors (Crackin’ Up)
4987,ABBA,The Winner Takes It All
9892,ABBA,Tiger
30792,ABBA,Under Attack
4988,ABBA,Voulez-vous
4990,ABBA,Waterloo
10459,ABBA,When All Is Said And Done
8722,ABBA,When I Kissed The Teacher
25132,ABBA,When You Danced With Me
3066,Adele,Chasing Pavements
13348,Adele,Don’t You Remember
25072,Adele,Easy On Me
19236,Adele,Hello
7239,Adele,Hometown Glory
28904,Adele,Lovesong
22783,Adele,Make You Feel My Love
22445,Adele,Million Years Ago
25745,Adele,Oh My God
25579,Adele,Rolling In The Deep
11408,Adele,Rolling In The Deep (Studio Footage)
13154,Adele,Rumour Has It
20008,Adele,Send My Love (To Your New Lover)
11972,Adele,Set Fire To The Rain
14660,Adele,Skyfall
14953,Adele,Someone Like You
13352,Adele,Turning Tables
20904,Adele,Water Under The Bridge
19921,Adele,When We Were Young
87,Amy Winehouse,Back To Black
8294,Amy Winehouse,Fuck Me Pumps
24941,Amy Winehouse,In My Bed
5636,Amy Winehouse,Love Is A Losing Game
473,Amy Winehouse,Rehab
2981,Amy Winehouse,Tears Dry On Their Own
17061,Amy Winehouse,You Know I’m No Good
24763,Arctic Monkeys,505
22137,Arctic Monkeys,Arabella
12571,Arctic Monkeys,Brianstorm
31233,Arctic Monkeys,Cornerstone
17676,Arctic Monkeys,Crying Lightning
16144,Arctic Monkeys,Do I Wanna Know?
8288,Arctic Monkeys,Fluorescent Adolescent
4739,Arctic Monkeys,I Bet You Look Good On The Dancefloor
18450,Arctic Monkeys,R U Mine?
13170,Arctic Monkeys,When The Sun Goes Down
26529,Arctic Monkeys,Why’d You Only Call Me When You’re High
17990,Avicii feat. Robbie Williams,The Days
12819,Bad Meets Evil feat. Bruno Mars,Lighters
206,Black Sabbath,Paranoid
12345,Britney Spears,Shadow
20842,Bruno Mars,24K Magic
25211,Bruno Mars,Chunky
14265,Bruno Mars,Count On Me
28507,Bruno Mars,Gorilla
11157,Bruno Mars,Grenade
31498,Bruno Mars,I Just Might
13314,Bruno Mars,It Will Rain
10573,Bruno Mars,Just The Way You Are
14845,Bruno Mars,Locked Out Of Heaven
11271,Bruno Mars,Marry You
28446,Bruno Mars,Runaway Baby
12248,Bruno Mars,Somewhere In Brooklyn
11156,Bruno Mars,Talking To The Moon
20916,Bruno Mars,That’s What I Like
11962,Bruno Mars,The Lazy Song
15892,Bruno Mars,Treasure
23244,Bruno Mars,Versace On The Floor
15469,Bruno Mars,When I Was Your Man
17088,Bruno Mars,Young Girls
18827,Bruno Mars feat. Damian Marley,Liquor Store Blues
4863,Busted,Air Hostess
561,Busted,Crashed The Wedding
23802,Busted,Meet You There
24431,Busted,Mummy Trade
23815,Busted,Nerdy
23793,Busted,On What You’re On
24694,Busted,Radio
24583,Busted,Shipwrecked In Atlantis
24297,Busted,Thunderbirds Are Go!
23576,Busted,Who’s David
19938,Calvin Harris feat. Rihanna,This Is What You Came For
26872,Coldplay,A Head Full Of Dreams
17253,Coldplay,A Sky Full Of Stars
19438,Coldplay,Adventure Of A Lifetime
19421,Coldplay,Army Of One
13129,Coldplay,Charlie Brown
13130,Coldplay,Christmas Lights
13363,Coldplay,Don’t Let It Break Your Heart
19420,Coldplay,Everglow
12848,Coldplay,Every Teardrop Is A Waterfall
23618,Coldplay,Everyday Life
24664,Coldplay,Higher Power
15509,Coldplay,Hurts Like Heaven
13239,Coldplay,Life In Technicolor II
30489,Coldplay,Lost!
17115,Coldplay,Magic
26725,Coldplay,Orphans
13004,Coldplay,Paradise
13303,Coldplay,Up In Flames
20489,Coldplay,Up&Up
29203,Coldplay,feelslikeimfallinginlove
14319,Coldplay & Rihanna,Princess Of China
20018,Coldplay feat. Beyoncé,Hymn For The Weekend
25290,Coldplay x BTS,My Universe
25437,Coldplay x Selena Gomez,Let Somebody Go
29947,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",WE PRAY
24808,Darius Rucker,Wagon Wheel
11457,DiddyDirtyMoney feat. Skylar Grey,Coming Home
14006,Drake feat. Rihanna,Take Care
16927,Duffy,Distant Dreamer
5634,Duffy,Mercy
6535,Duffy,Rain On Your Parade
4264,Duffy,Warwick Avenue
11464,Duffy,Well Well Well
16641,Eminem feat. Rihanna,The Monster
9857,Enter Shikari,Adieu
23377,Giorgio Moroder feat. Kylie Minogue,"Right Here, Right Now"
28496,Girls Aloud,Black Jacks
3014,Girls Aloud,Call The Shots
23617,Girls Aloud,Can’t Speak French
17533,Girls Aloud,Love Is Pain
16241,Girls Aloud,Miss You Bow Wow
23689,Girls Aloud,On The Metro
23690,Girls Aloud,Revolution In The Head
17534,Girls Aloud,Rolling Back The Rivers In Time
15057,Girls Aloud,Something New
12377,Girls Aloud,The Loving Kind
7471,Girls Aloud,The Promise
16396,Girls Aloud,Untouchable
12916,JLS feat. DEV,She Makes Me Wanna
11890,Jace Everett,Bad Things
15836,James Arthur,Impossible
21438,Kylie Minogue,Dancing
28179,Kylie Minogue,Green Light
17026,Kylie Minogue,Into The Blue
26382,Kylie Minogue,It’s The Most Wonderful Time Of The Year
24120,Kylie Minogue,Magic
24119,Kylie Minogue,Miss A Thing
24164,Kylie Minogue,Monday Blues
27410,Kylie Minogue,Padam Padam
24121,Kylie Minogue,Real Groove
24154,Kylie Minogue,Say Something
21505,Kylie Minogue,Stop Me From Falling
24163,Kylie Minogue,Where Does The DJ Go?
25103,Kylie Minogue and Years & Years,A Second To Midnight
2566,Leona Lewis,Better In Time
246,Leona Lewis,Bleeding Love
21723,Leona Lewis,Bleeding Love [High Notes]
5596,Leona Lewis,Forgive Me
8261,Leona Lewis,Happy
9116,Leona Lewis,I Got You
8425,Leona Lewis,I See You
24135,Leona Lewis,One More Sleep
6466,Leona Lewis,Run
21500,Leona Lewis & Avicii,Collide
19511,Lil Wayne feat. Bruno Mars,Mirror
4033,Mark Ronson feat. Amy Winehouse,Valerie
18114,Mark Ronson feat. Bruno Mars,Uptown Funk!
4876,McFly,5 Colours In Her Hair
1180,McFly,Obviously
7808,McFly,The Heart Never Lies
14861,Nicki Minaj feat. Rihanna,Fly
26975,Nicky Youre & Dazy,Sunroof
2654,Oasis,All Around The World
1238,Oasis,Champagne Supernova
11316,Oasis,Cigarettes & Alcohol
3115,Oasis,Don’t Look Back In Anger
25351,Oasis,Go Let It Out
5956,Oasis,I’m Outta Time
7862,Oasis,Let There Be Love
15274,Oasis,Lyla
